RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG)
110,A1,426,Medellin,Popcorn,,,,22140,22140,1,22139.6,22.14
110,A1,246261H,Cherry Noir/Mandarin,Hash,,,,3780,3780,1,3780,3.78
110,A1,426,Medellin,Shake,,,,52099,52099,1,52098.8,52.099
110,A2,MIXED,Sage N Sour,RND|Shred,,,,1392,1392,1,1391.9,1.392
110,A2,MIXED,Mandarin,RND|Shred,,,,2673,2673,1,2672.7,2.673
110,A2,MIXED,Cherry Noir,RND|Shred,,,,282,282,1,281.5,0.282
110,A2,INCONNU,Sage N Sour,Bubble Hash,,,,2149,2149,1,2149,2.149
110,A2,INCONNU,RND,Finger Hash,,,,1538,1538,1,1538,1.538
110,A2,342,Cherry Noir,Shred,,,,1700,1700,1,1700,1.7
110,A2,239,Sage N Sour,Shred,,,,274,274,1,274,0.274
110,A2,LOT420,Origine Nature,Popcorn,,,,1136,1136,1,1136.3,1.136
110,A2,LOT420,Origine Nature,Shake,,,,138,138,1,138,0.138
110,A2,333,Gas Paradise,Popcorn,,,,2710,2710,1,2710,2.71
110,A2,390,Blueberry Kush,Popcorn,,,,3289,3289,1,3288.9,3.289
110,A2,331,Neville Haze,Popcorn,,,,11494,11494,1,11493.5,11.494
110,A2,401,Sage N Sour,Popcorn,,,,14762,14762,1,14761.7,14.762
110,A2,245,Sage N Sour,Popcorn,,,,9076,9076,1,9075.6,9.076
110,A2,143PR,Sage N Sour,Prérouler 0.6,1,458,1,,458,0.6,274.8,0.275
110,B1,403,Medellin,Shred,,,,62748,62748,1,62747.7,62.748
110,B1,319,Blue Cheese,Large Flower,,,,2643,2643,1,2643.2,2.643
110,B1,319,Blue Cheese,Popcorn/Shake,,,,2734,2734,1,2733.8,2.734
110,B1,291,Banana Daddy,Large Flower,,,,2085,2085,1,2084.9,2.085
110,B1,318,Super Lemon Haze,Large Flower,,,,6101,6101,1,6101.4,6.101
110,B1,318,Super Lemon Haze,Shake,,,,869,869,1,869,0.869
110,B1,395,Sage N Sour,Popcorn,,,,32749,32749,1,32749.1,32.749
110,B2,280,Gas Paradise,Popcorn,,,,10672,10672,1,10671.6,10.672
110,B2,244,Sage N Sour,Popcorn,,,,140,140,1,140,0.14
110,B2,229,Cherry Noir,Popcorn,,,,6417,6417,1,6416.6,6.417
110,B2,246,Mandarin,Popcorn,,,,5420,5420,1,5420.2,5.42
110,B2,387,Sage N Sour,Popcorn,,,,11055,11055,1,11054.5,11.055
110,B2,110,Mandarin,Popcorn,,,,731,731,1,731.1,0.731
110,B2,110,Mandarin,Shake,,,,176,176,1,176.1,0.176
110,B2,110,Mandarin,RND,,,,15,15,1,15.1,0.015
110,B2,115,Mandarin,Shake,,,,1909,1909,1,1909.1,1.909
110,B2,115,Mandarin,Popcorn,,,,121,121,1,121.1,0.121
110,B2,115,Mandarin,RND,,,,89,89,1,89.1,0.089
110,B2,AC1,Stargazer,Large Flower,,,,917,917,1,917.1,0.917
110,B2,AC1,Stargazer,Popcorn,,,,768,768,1,768.1,0.768
110,B2,AC1,Stargazer,Shake,,,,107,107,1,107.1,0.107
110,B2,AC1,Stargazer,RND,,,,10,10,1,10.1,0.01
110,C1,238,Mandarin,Popcorn,,,,943,943,1,942.8,0.943
110,C1,233,Mandarin,Popcorn,,,,3047,3047,1,3047.4,3.047
110,C1,208,Mandarin,Popcorn,,,,1363,1363,1,1362.6,1.363
110,C1,401,Sage N Sour,RND,,,,2746,2746,1,2745.7,2.746
110,C1,208A,Mandarin,Popcorn,,,,434,434,1,434.2,0.434
110,C1,364,Medellin,Large Flower,,,,19055,19055,1,19054.9,19.055
110,C1,364,Medellin,Popcorn,,,,1947,1947,1,1947.3,1.947
110,B2,231,Medellin,Popcorn,,,,399,399,1,399,0.399
110,C2,384,Sage N Sour,Popcorn,,,,21833,21833,1,21832.5,21.833
110,C2,EXLQBXZTWNO5JR,Cherry Noir/Mandarin,Hash 2.0,1,400,1,,400,2,800,0.8
110,C2,EXLOS2ZCA4GYRN,Cherry Noir/Mandarin,Hash 2.0,1,403,1,,403,2,806,0.806
110,D1,304,Blue Chemo,Large Flower,,,,35517,35517,1,35516.8,35.517
110,D1,MIXRND,RND,RND,,,,25871,25871,1,25870.9,25.871
110,C2/D2,MIXRND2023,RND,RND,,,,92000,92000,1,92000,92
110,E1,402,Blue Dream,Popcorn,,,,18994,18994,1,18994,18.994
110,E1,402,Blue Dream,Large Flower,,,,34210,34210,1,34210,34.21
110,E1,402,Blue Dream,Shake,,,,26573,26573,1,26573.1,26.573
110,E1,383,Cherry Noir,Shake,,,,60676,60676,1,60676,60.676
110,E1,371,Cherry Noir,Large Flower,,,,43465,43465,1,43465,43.465
110,E1,430,Chemdawg,Shake,,,,16488,16488,1,16488,16.488
110,E1,430,Chemdawg,Popcorn,,,,3650,3650,1,3650,3.65
110,E1,430,Chemdawg,Large Flower,,,,48564,48564,1,48564,48.564
110,E1,429,Chemdawg,Large Flower,,,,63061,63061,1,63061,63.061
110,E1,429,Chemdawg,Shake,,,,44820,44820,1,44820,44.82
110,E1,NP383,Cherry Noir,Shred,,,,57816,57816,1,57816,57.816
110,E1/E2,331,Neville Haze,Large Flower,,,,48000,48000,1,48000,48
110,E3,431,Cherry Noir,Large Flower,,,,71629,71629,1,71629,71.629
110,E3,431,Cherry Noir,Popcorn,,,,9230,9230,1,9230,9.23
110,E3,431,Cherry Noir,Shake,,,,48476,48476,1,48476,48.476
110,E3,432,Chemdawg,Large Flower,,,,118835,118835,1,118835,118.835
110,E2,393,Medellin,Shake,,,,44255,44255,1,44255,44.255
110,E2,398,Cherry Noir,Large Flower,,,,64283,64283,1,64283,64.283
110,E3,403,Medellin,Large Flower,,,,56513,56513,1,56513,56.513
110,E3,394,Sweet Stripe,Large Flower,,,,1754,1754,1,1754.2,1.754
110,E3,394,Sweet Stripe,Popcorn,,,,325,325,1,325.3,0.325
110,E3,394,Sweet Stripe,Shake,,,,997,997,1,997.2,0.997
110,E3,393,Medellin,Popcorn,,,,10842,10842,1,10841.5,10.842
110,E3,393,Medellin,Popcorn/Shake,,,,393,393,1,393.1,0.393
110,E3,426,Medellin,Large Flower,,,,2068,2068,1,2068,2.068
110,F1,109,Sage N Sour,RND|Popcorn,,,,8488,8488,1,8487.9,8.488
110,F1,FP1,Larry OG,RND|Popcorn,,,,24378,24378,1,24378.4,24.378
110,F1,140,Sage N Sour,RND|Popcorn,,,,11687,11687,1,11686.5,11.687
110,F1,141,Sage N Sour,RND|Shake,,,,1736,1736,1,1736.3,1.736
110,F1,143,Sage N Sour,RND|Popcorn/shake,,,,7001,7001,1,7001.4,7.001
110,F1,114,Sage N Sour,RND|Popcorn/shake,,,,7912,7912,1,7912.2,7.912
110,F1,149,Origine Kush,RND|Popcorn/shake,,,,3645,3645,1,3644.7,3.645
110,F1,MIXED,RND,RND,,,,3114,3114,1,3114.1,3.114
110,F1,185,Mandarin,RND|Prérouler 0.6,,,,144,144,0.6,86.4,0.086
110,F2,352,Purple Chitral,Popcorn,,,,4015,4015,1,4015,4.015
110,F2,364,Medellin,Popcorn,,,,27626,27626,1,27626.3,27.626
110,G1,306,Medellin,Popcorn,,,,13980,13980,1,13980.1,13.98
110,G1,374,Gas Paradise,Popcorn,,,,2621,2621,1,2621.2,2.621
110,G1,374,Gas Paradise,Shake,,,,19029,19029,1,19028.9,19.029
110,G1,385,Blue Dream,Shake,,,,49011,49011,1,49011,49.011
110,F2,289,Gelonade,Large Flower,,,,12000,12000,1,12000,12
110,F2,289,Gelonade,Popcorn,,,,6722,6722,1,6721.7,6.722
110,G2,304,Blue Chemo,Popcorn,,,,19598,19598,1,19597.6,19.598
110,G2,342,Cherry Noir,Shake,,,,61374,61374,1,61373.7,61.374
110,H1,432,Sage N Sour,Popcorn,,,,12684,12684,1,12684,12.684
110,H1,432,Sage N Sour,Shake,,,,37941,37941,1,37940.5,37.941
110,I1,429,Sage N Sour,Popcorn,,,,31917,31917,1,31916.7,31.917
110,H2,290,Cherry Noir,Shake,,,,42935,42935,1,42935,42.935
110,H2,332,Blue Chemo,Shake,,,,49102,49102,1,49101.6,49.102
110,I1,397,Gas Paradise,Large Flower,,,,29592,29592,1,29592.2,29.592
110,I1,397,Gas Paradise,Popcorn,,,,1533,1533,1,1532.9,1.533
110,I1,400,Gas Paradise,Popcorn,,,,5885,5885,1,5885.2,5.885
110,I1,400,Gas Paradise,Large Flower,,,,28432,28432,1,28431.6,28.432
110,I2,M302273,Gelonade,Large Flower,,,,16559,16559,1,16559,16.559
110,I2,M302273,Gelonade,Popcorn,,,,2481,2481,1,2480.8,2.481
110,I2,365,Sage N Sour,Popcorn,,,,9614,9614,1,9614,9.614
110,I2,390,Blueberry Kush,Shake,,,,18902,18902,1,18901.7,18.902
110,I2,331,Neville Haze,Shake,,,,29897,29897,1,29897.4,29.897
110,I2,437,Sage N Sour,Popcorn,,,,2003,2003,1,2003.2,2.003
110,I2,437,Sage N Sour,Shake,,,,1405,1405,1,1405,1.405
110,J1,371,Cherry Noir,Shake,,,,41441,41441,1,41440.5,41.441
110,J1,398,Cherry Noir,Shake,,,,37440,37440,1,37439.7,37.44
110,J1,370,Cherry Noir,Shake,,,,55001,55001,1,55000.6,55.001
110,J2,397,Gas Paradise,Shake,,,,13749,13749,1,13749.3,13.749
110,J2,302,Gelonade,Shake,,,,10548,10548,1,10548,10.548
110,J2,149,Origine Kush,Shake,,,,28431,28431,1,28430.9,28.431
110,J2,386,Purple Chitral,Shake,,,,24371,24371,1,24371,24.371
110,J2,246,Mandarin,Shake,,,,21000,21000,1,21000,21
110,J2,352,Purple Chitral,Shake,,,,8805,8805,1,8805,8.805
