RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG),THC %,Réservé Retail | Réservé Wholesale
110,D1,387,Sage N Sour,RND|Large Flower,,,,717,717,1.00,717.20,0.717,26.97%,
110,D1,395,Sage N Sour,RND|Large Flower,,,,1261,"1,261",1.00,"1,261.20",1.261,27.69%,
110,D1,396,Sage N Sour,RND|Large Flower,,,,1105,"1,105",1.00,"1,105.10",1.105,28.46%,
110,D1,399,Sage N Sour,RND|Large Flower,,,,1303,"1,303",1.00,"1,303.30",1.303,29.68%,
110,E1,429,Chemdawg,Large Flower,62,1000,1,1061,"63,061",1.00,"63,061.30",63.061,25.68%,Wholesale
110,E1,450,Medellin,Large Flower,96,1000,1,,"96,000",1.00,"96,000.00",96.000,29.30%,Retail
110,E1,371,Cherry Noir,QA|Large Flower,43,1000,1,465,"43,465",1.00,"43,464.90",43.465,,Retail
110,E2,439,Chemdawg,Large Flower,54,1000,1,450,"54,450",1.00,"54,450.00",54.450,26.20%,Wholesale
110,E2,446,Chemdawg,Large Flower,129,1000,1,936,"129,936",1.00,"129,935.80",129.936,28.81%,Wholesale
110,E2,443,Medellin,Large Flower,79,1000,1,718,"79,718",1.00,"79,718.00",79.718,29.20%,Wholesale
110,E2,331B,Neville Haze,Large Flower,49,1000,1,557,"49,557",1.00,"49,556.70",49.557,,Wholesale
110,E2,430,Chemdawg,QA|Large Flower,23,1000,1,564,"23,564",1.00,"23,563.70",23.564,,Retail
110,E2,398,Cherry Noir,QA|Large Flower,64,1000,1,283,"64,283",1.00,"64,282.60",64.283,,Retail
110,E3,442,Chemdawg,Large Flower,108,1000,1,593,"108,593",1.00,"108,592.50",108.593,28.42%,Retail
110,E3,442,Chemdawg,Popcorn,13,1000,1,651,"13,651",1.00,"13,651.00",13.651,28.42%,Retail
110,F1,374,Gas Paradise,Popcorn,,,,2621,"2,621",1.00,"2,621.00",2.621,26.20%,Wholesale
110,F1,400,Gas Paradise,Popcorn,,,,5885,"5,885",1.00,"5,885.23",5.885,26.34%,Wholesale
110,F1,M302273,Gelonade,Popcorn,,,,2481,"2,481",1.00,"2,480.80",2.481,,Wholesale
110,F1,403,Medellin,Large Flower,,,,4000,"4,000",1.00,"4,000.00",4.000,29.78%,Retail
110,F1,426,Medellin,Large Flower,,,,2068,"2,068",1.00,"2,068.00",2.068,27.53%,Retail
110,F1,352,Purple Chitral,Popcorn,,,,3993,"3,993",1.00,"3,993.00",3.993,21.52%,Retail
110,G1,306,Medellin,Popcorn,13,1000,1,980,"13,980",1.00,"13,980.10",13.980,26.00%,Retail
110,G1,441,Blue Dream,QA|Large Flower,36,1000,1,176,"36,176",1.00,"36,176.30",36.176,,Retail
110,G2,M304332,Blue Chem,Popcorn,19,1000,1,598,"19,598",1.00,"19,597.60",19.598,,Wholesale
110,G2,289,Gelonade,Popcorn,6,1000,1,722,"6,722",1.00,"6,721.70",6.722,22.76%,Wholesale
110,G2,289,Gelonade,Large Flower,6,1000,1,,"6,000",1.00,"6,000.00",6.000,22.76%,Retail
110,G2,364,Medellin,Popcorn,27,1000,1,626,"27,626",1.00,"27,626.30",27.626,26.44%,Retail
110,H1,432,Chemdawg,Popcorn,12,1000,1,684,"12,684",1.00,"12,684.00",12.684,29.68%,Wholesale
110,H1,439,Chemdawg,Popcorn,5,1000,1,277,"5,277",1.00,"5,277.20",5.277,26.20%,Wholesale
110,H1,447,Gas Paradise,QA|Shake,24,1500,1,1237,"37,237",1.00,"37,236.60",37.237,,Wholesale
110,H2,365,Chemdawg,Popcorn,9,1000,1,614,"9,614",1.00,"9,614.00",9.614,27.14%,Wholesale
110,H2,446,Chemdawg,Popcorn,14,1000,1,804,"14,804",1.00,"14,803.90",14.804,28.81%,Retail
110,I1,440,Blue Chem,QA|Popcorn,9,1000,1,1229,"10,229",1.00,"10,229.20",10.229,,Wholesale
110,I1,429,Chemdawg,Popcorn,26,1000,1,917,"26,917",1.00,"26,916.70",26.917,25.68%,Wholesale
110,I1,440,Blue Chem,QA|Large Flower,21,1000,1,624,"21,624",1.00,"21,623.70",21.624,,Retail
110,I2,455,Chemdawg,QA|Popcorn,,,,1864,"1,864",1.00,"1,863.90",1.864,,Wholesale
110,I2,M302273,Gelonade,Large Flower,16,1000,1,559,"16,559",1.00,"16,559.00",16.559,,Retail
110,I2,440,Blue Chem,QA|Shake,19,1500,1,883,"29,383",1.00,"29,383.10",29.383,,Retail
110,I2,443,Medellin,Shake,30,1500,1,1002,"46,002",1.00,"46,001.50",46.002,29.20%,Retail
110,J1,398,Cherry Noir,QA|Shake,24,1500,1,1440,"37,440",1.00,"37,439.70",37.440,,Retail
110,J1,370,Cherry Noir,Shake,36,1500,1,1001,"55,001",1.00,"55,000.60",55.001,21.08%,Retail
110,J2,447,Gas Paradise,QA|Popcorn,8,1000,1,1151,"9,151",1.00,"9,150.80",9.151,,Wholesale
110,J2,455,Chemdawg,QA|Shake,16,1500,1,604,"24,604",1.00,"24,603.70",24.604,,Retail
110,J2,446,Chemdawg,Shake,26,1500,1,1253,"40,253",1.00,"40,252.70",40.253,28.81%,Retail
110,J3,455,Chemdawg,QA|Large Flower,46,1000,1,371,"46,371",1.00,"46,371.40",46.371,,Wholesale
110,J3,447,Gas Paradise,QA|Large Flower,38,1000,1,1005,"39,005",1.00,"39,004.70",39.005,,Retail
111,,428,Chemdawg,Popcorn/Shake,,,,5988,"5,988",1.00,"5,987.90",5.988,26.21%,Wholesale
111,,450,Medellin,Popcorn/Shake,,,,287,287,1.00,286.70,0.287,29.30%,Wholesale
111,,MAC109,Alien Cookies,Pouches 1.0,9,48,1,,432,1.00,432.00,0.432,,
111,,111596,Apple Fritter,Pouches 28.0,44,12,1,,528,28.00,"14,784.00",14.784,,
111,,106117,ICC Sorbet,Large Flower,,,,6006,"6,006",1.00,"6,006.30",6.006,,Retail
111,,269,Blue Chem,Jars 3.5,3,24,1,,72,3.50,252.00,0.252,27.25%,
111,,402,Blue Chem,Pouches 3.5,14,24,1,,336,3.50,"1,176.00",1.176,20.20%,
111,,450,Medellin,Large Flower,,,,5905,"5,905",1.00,"5,905.40",5.905,29.30%,Retail
111,,390,Blueberry Kush,Jars 3.5,14,24,1,,336,3.50,"1,176.00",1.176,23.89%,
111,,386,Purple Chitral,Large Flower,,,,6116,"6,116",1.00,"6,116.10",6.116,27.84%,Retail
