RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG)
110,G2,289,Gelonade,Large Flower,12,1000,1,,"12,000",1,"12,000.00",12
110,G2,289,Gelonade,Popcorn,,,,6722,"6,722",1,"6,722.00",6.722
110,G2,304,Blue Chemo,Popcorn,19,1000,1,598,"19,598",1,"19,598.00",19.598
110,H1,439,Chemdawg,QA|Popcorn,5,1000,1,277,"5,277",1,"5,277.00",5.277
110,H1,439,Chemdawg,QA|Shake,9,1500,1,385,"13,885",1,"13,885.00",13.885
110,H1,432,Chemdawg,Popcorn,12,1000,1,684,"12,684",1,"12,684.00",12.684
110,H1,432,Chemdawg,Shake,24,1500,1,1941,"37,941",1,"37,940.50",37.941
110,H2,365,Chemdawg,Popcorn,9,1000,1,614,"9,614",1,"9,614.00",9.614
110,I1,440,Blue Chemo,QA|Large Flower,,,,21647,"21,647",1,"21,647.00",21.647
110,I1,440,Blue Chemo,QA|Popcorn,,,,10240,"10,240",1,"10,240.00",10.24
110,I1,397,Gas Paradise,Popcorn,,,,1533,"1,533",1,"1,533.00",1.533
110,I1,397,Gas Paradise,Large Flower,29,1000,1,592,"29,592",1,"29,592.00",29.592
110,I1,429,Chemdawg,Popcorn,26,1000,,917,917,1,917,0.917
110,I2,440,Blue Chemo,QA|Shake,,,,29402,"29,402",1,"29,401.80",29.402
110,I2,M302273,Gelonade,Large Flower,16,1000,1,559,"16,559",1,"16,559.00",16.559
110,I2,443,Medellin,QA|Shake,30,1500,1,1002,"46,002",1,"46,001.50",46.002
110,J1,398,Cherry Noir,QA|Shake,24,1500,1,1440,"37,440",1,"37,440.00",37.44
110,J1,370,Cherry Noir,Shake,36,1500,1,1001,"55,001",1,"55,001.00",55.001
111,,403,Medellin,Large Flower,,,,22829,"22,829",1,"22,828.70",22.829
111,,403,Medellin,Popcorn/Shake,,,,1725,"1,725",1,"1,724.70",1.725
111,,403,Medellin,RND,,,,20,20,1,19.7,0.02
